Packet_Count,Sub_0,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Sub_6,Sub_7,Sub_8,Sub_9,Sub_10,Sub_11,Sub_12,Sub_13,Sub_14,Sub_15,Sub_16,Sub_17,Sub_18,Sub_19,Sub_20,Sub_21,Sub_22,Sub_23,Sub_24,Sub_25,Sub_26,Sub_27,Sub_28,Sub_29,Sub_30,Sub_31,Sub_32,Sub_33,Sub_34,Sub_35,Sub_36,Sub_37,Sub_38,Sub_39,Sub_40,Sub_41,Sub_42,Sub_43,Sub_44,Sub_45,Sub_46,Sub_47,Sub_48,Sub_49,Sub_50,Sub_51,Sub_52,Sub_53,Sub_54,Sub_55,Sub_56,Sub_57,Sub_58,Sub_59,Sub_60,Sub_61,Sub_62,Sub_63
47644,95,5,0,0,0,0,15,17,17,17,15,17,18,16,16,17,17,16,17,16,15,18,16,14,15,15,16,15,17,16,17,16,0,16,16,19,14,16,16,15,19,15,16,15,15,18,17,16,18,18,17,18,17,17,17,17,17,16,17,0,0,0,0,0
47645,95,5,0,0,0,0,15,17,15,14,13,14,13,14,15,14,12,12,12,12,14,17,12,13,13,14,12,13,13,12,12,13,0,14,15,14,15,14,12,14,15,13,12,17,13,15,13,16,15,13,14,17,14,13,13,14,15,15,14,0,0,0,0,0
47646,95,5,0,0,0,0,16,18,17,17,16,18,14,16,17,16,21,17,16,17,14,18,15,13,23,16,14,18,24,15,15,16,0,14,16,17,21,17,15,18,25,17,16,16,25,15,17,18,21,17,20,16,17,17,17,18,15,19,17,0,0,0,0,0
47647,95,5,0,0,0,0,15,14,16,17,15,17,15,17,15,15,17,16,16,15,17,14,15,15,15,16,16,15,14,16,16,16,0,16,15,16,16,16,16,16,15,17,14,17,15,17,18,16,18,16,17,17,15,17,17,15,17,16,16,0,0,0,0,0
47648,95,5,0,0,0,0,15,18,16,17,15,17,15,15,14,13,15,14,16,15,16,15,15,13,14,13,15,15,15,15,14,14,0,16,17,15,14,15,16,16,15,16,15,16,16,15,14,15,15,17,16,15,15,17,16,16,18,14,15,0,0,0,0,0
47649,95,5,0,0,0,0,14,15,16,15,13,13,14,13,14,14,12,10,14,16,14,11,16,11,10,11,13,16,15,12,13,14,0,12,14,17,10,12,12,14,14,15,15,15,15,13,16,16,17,17,16,15,14,14,17,14,12,13,12,0,0,0,0,0
47650,95,5,0,0,0,0,8,9,10,11,9,9,9,8,8,10,10,9,8,9,9,8,8,8,11,8,8,8,8,8,8,9,0,8,8,10,9,9,8,10,10,10,9,8,11,8,9,9,9,10,10,10,11,9,9,9,10,9,10,0,0,0,0,0
47651,95,5,0,0,0,0,7,7,8,6,7,8,7,8,8,7,8,6,7,7,6,6,5,6,8,8,7,7,6,7,6,6,0,7,7,8,9,8,9,8,8,8,8,8,8,7,6,8,7,7,8,7,8,8,8,7,7,8,7,0,0,0,0,0
47652,95,5,0,0,0,0,9,7,9,10,6,8,9,7,7,9,7,8,7,6,7,9,11,8,8,7,10,7,5,7,8,8,0,7,8,8,9,9,7,9,8,9,10,9,9,8,7,7,9,7,7,8,9,8,9,7,8,8,7,0,0,0,0,0
47653,95,5,0,0,0,0,14,15,12,14,14,14,13,14,14,12,14,14,14,12,14,13,14,12,14,13,14,13,12,12,14,14,0,12,12,12,15,13,13,14,11,14,12,14,13,13,14,16,15,16,14,14,12,14,14,15,15,15,14,0,0,0,0,0
47654,95,5,0,0,0,0,15,14,15,15,15,14,16,14,16,14,16,15,16,14,15,15,16,13,15,14,15,14,14,14,16,15,0,15,14,16,16,15,17,15,16,15,14,16,16,15,14,15,17,16,15,16,17,16,16,16,16,16,16,0,0,0,0,0
47655,95,5,0,0,0,0,15,16,15,17,14,17,17,17,15,15,16,15,16,15,15,14,14,15,14,15,14,16,13,16,15,18,0,18,15,18,15,15,18,14,16,15,15,19,15,17,17,17,20,18,18,17,15,17,18,15,16,15,15,0,0,0,0,0
47656,95,5,0,0,0,0,7,9,8,9,9,10,8,9,9,9,8,9,8,8,7,8,8,8,8,9,7,9,7,7,8,8,0,8,8,8,9,6,9,9,10,10,11,9,7,8,9,10,9,10,10,8,9,9,8,10,8,9,9,0,0,0,0,0
47657,95,5,0,0,0,0,17,18,16,17,16,18,18,18,17,15,18,17,16,17,16,17,17,16,16,16,17,16,15,16,16,17,0,18,16,17,17,18,17,17,17,19,17,19,18,16,18,17,17,17,20,18,19,19,17,17,18,17,17,0,0,0,0,0
47658,95,5,0,0,0,0,14,15,16,16,13,15,16,15,13,14,16,16,15,14,13,15,15,15,14,14,13,13,14,14,14,16,0,15,15,15,15,14,14,16,14,15,16,16,17,17,15,16,17,16,16,17,15,15,13,16,15,16,16,0,0,0,0,0
47659,95,5,0,0,0,0,15,15,16,17,17,16,14,14,16,16,15,15,15,14,15,14,15,14,16,14,14,15,13,15,15,16,0,15,15,17,15,18,15,18,16,16,18,16,14,17,17,14,17,17,17,16,17,16,16,16,17,15,16,0,0,0,0,0
47660,95,5,0,0,0,0,15,16,14,15,17,15,16,16,16,15,17,18,16,17,16,16,16,15,15,14,14,17,15,16,16,15,0,16,14,17,17,16,17,15,14,15,17,16,14,17,17,17,17,16,17,16,18,17,18,17,18,16,18,0,0,0,0,0
47661,95,5,0,0,0,0,15,15,18,20,15,18,16,17,15,18,17,16,17,16,17,14,17,15,17,16,15,16,16,15,16,16,0,16,17,17,15,15,16,16,17,17,15,15,17,17,17,16,18,18,18,17,17,18,17,17,18,17,16,0,0,0,0,0
47662,95,5,0,0,0,0,11,12,10,11,8,7,10,8,9,9,10,10,10,10,9,10,10,7,9,9,9,7,9,9,8,8,0,7,9,9,9,9,8,9,9,9,8,10,10,9,10,9,10,9,9,10,9,10,11,9,9,9,9,0,0,0,0,0
47663,95,5,0,0,0,0,8,8,7,8,8,9,7,7,8,8,8,8,7,7,8,8,8,8,7,7,7,7,8,7,7,8,0,7,7,8,7,8,8,8,8,7,9,9,8,7,8,9,9,8,7,8,8,8,8,8,8,7,7,0,0,0,0,0
47664,95,5,0,0,0,0,11,8,8,9,8,8,10,8,8,9,9,9,9,8,7,9,10,8,8,8,9,8,9,9,9,9,0,9,9,9,9,9,8,9,8,9,8,9,9,9,9,9,9,9,10,10,9,9,9,8,9,8,8,0,0,0,0,0
47665,95,5,0,0,0,0,6,7,7,8,6,6,7,7,7,7,6,7,7,7,6,7,7,6,6,6,6,6,6,6,7,6,0,6,6,7,6,7,6,6,6,5,6,6,7,7,6,7,7,6,6,8,6,7,7,6,7,6,7,0,0,0,0,0
47666,95,5,0,0,0,0,17,17,16,16,16,17,16,18,18,16,18,18,17,17,15,17,18,15,16,15,15,17,16,15,16,18,0,17,15,17,17,17,16,16,18,18,18,18,17,17,19,18,19,18,19,17,18,18,17,16,19,18,19,0,0,0,0,0
47667,95,5,0,0,0,0,19,17,18,17,18,18,16,16,17,17,17,17,15,17,15,15,16,17,16,18,15,14,13,17,14,16,0,16,16,14,12,16,17,16,17,14,14,15,13,14,16,18,20,14,18,20,20,15,20,15,15,18,20,0,0,0,0,0
