Packet_Count,Sub_0,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Sub_6,Sub_7,Sub_8,Sub_9,Sub_10,Sub_11,Sub_12,Sub_13,Sub_14,Sub_15,Sub_16,Sub_17,Sub_18,Sub_19,Sub_20,Sub_21,Sub_22,Sub_23,Sub_24,Sub_25,Sub_26,Sub_27,Sub_28,Sub_29,Sub_30,Sub_31,Sub_32,Sub_33,Sub_34,Sub_35,Sub_36,Sub_37,Sub_38,Sub_39,Sub_40,Sub_41,Sub_42,Sub_43,Sub_44,Sub_45,Sub_46,Sub_47,Sub_48,Sub_49,Sub_50,Sub_51,Sub_52,Sub_53,Sub_54,Sub_55,Sub_56,Sub_57,Sub_58,Sub_59,Sub_60,Sub_61,Sub_62,Sub_63
118693,95,5,0,0,0,0,5,5,6,4,4,3,2,2,1,1,0,1,1,2,2,3,4,2,4,5,5,6,6,7,8,8,0,9,10,10,9,10,10,11,9,12,11,12,11,12,12,12,13,13,13,14,13,13,14,14,15,14,15,0,0,0,0,0
118694,95,5,0,0,0,0,6,2,2,2,1,2,1,0,1,1,2,1,1,2,3,2,5,4,5,5,6,8,6,7,9,8,0,8,9,9,8,10,9,10,10,11,10,13,12,10,11,10,11,12,12,12,12,11,13,14,14,13,13,0,0,0,0,0
118695,95,5,0,0,0,0,2,1,2,1,2,2,1,2,2,1,2,1,3,3,3,4,5,4,5,5,5,5,4,5,5,5,0,5,6,6,7,5,6,6,6,7,7,7,6,7,8,8,8,6,8,8,8,8,7,7,8,8,7,0,0,0,0,0
118696,95,5,0,0,0,0,4,3,2,4,3,4,6,4,5,4,7,8,7,8,8,8,8,8,10,10,10,11,10,10,10,13,0,13,11,13,12,12,13,14,13,14,14,14,13,13,13,14,14,12,15,15,14,14,15,13,14,14,16,0,0,0,0,0
118697,95,5,0,0,0,0,8,9,10,10,10,7,12,10,10,12,11,12,13,12,14,13,14,12,14,15,14,15,14,16,17,17,0,16,17,17,18,18,17,20,17,19,16,20,18,19,18,20,20,20,20,21,17,21,22,19,17,29,29,0,0,0,0,0
118698,95,5,0,0,0,0,22,22,21,20,16,20,20,17,18,15,18,16,17,17,15,17,17,17,18,19,18,20,18,21,21,22,0,23,22,23,23,25,26,25,24,23,25,27,26,28,27,26,27,29,27,25,28,27,26,28,30,27,28,0,0,0,0,0
118699,95,5,0,0,0,0,21,22,20,19,15,15,17,13,13,10,12,11,10,8,8,8,9,10,8,11,13,10,14,16,14,17,0,21,19,22,19,21,24,24,24,25,26,27,23,26,25,29,29,30,29,31,29,28,28,27,29,28,29,0,0,0,0,0
118700,95,5,0,0,0,0,6,6,4,4,5,8,3,6,5,3,3,1,1,2,2,3,2,2,4,4,5,4,5,7,6,5,0,7,8,9,8,8,8,7,10,10,6,10,8,12,6,9,9,10,13,9,12,11,12,11,13,10,11,0,0,0,0,0
118701,95,5,0,0,0,0,5,5,6,5,5,2,2,1,0,3,1,1,2,2,3,2,2,3,3,4,4,4,4,7,6,7,0,5,6,6,7,7,8,9,9,8,8,9,8,8,7,8,9,9,11,9,10,9,9,11,8,10,10,0,0,0,0,0
118702,95,5,0,0,0,0,5,3,1,3,2,1,1,2,1,1,2,1,3,2,2,3,4,3,3,5,5,4,5,5,5,5,0,5,7,6,5,6,9,7,8,7,9,9,9,9,9,9,9,9,10,10,9,9,12,11,10,13,11,0,0,0,0,0
118703,95,5,0,0,0,0,3,3,3,3,2,3,2,4,3,5,3,5,3,3,4,4,5,5,5,8,6,5,5,6,5,8,0,7,8,8,8,9,9,9,8,8,8,10,8,8,10,9,11,10,11,12,11,10,10,12,12,12,11,0,0,0,0,0
