Packet_Count,Sub_0,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Sub_6,Sub_7,Sub_8,Sub_9,Sub_10,Sub_11,Sub_12,Sub_13,Sub_14,Sub_15,Sub_16,Sub_17,Sub_18,Sub_19,Sub_20,Sub_21,Sub_22,Sub_23,Sub_24,Sub_25,Sub_26,Sub_27,Sub_28,Sub_29,Sub_30,Sub_31,Sub_32,Sub_33,Sub_34,Sub_35,Sub_36,Sub_37,Sub_38,Sub_39,Sub_40,Sub_41,Sub_42,Sub_43,Sub_44,Sub_45,Sub_46,Sub_47,Sub_48,Sub_49,Sub_50,Sub_51,Sub_52,Sub_53,Sub_54,Sub_55,Sub_56,Sub_57,Sub_58,Sub_59,Sub_60,Sub_61,Sub_62,Sub_63
21666,95,5,0,0,0,0,22,24,26,24,24,24,23,23,25,22,25,24,24,25,23,24,25,21,21,22,22,22,20,22,23,23,0,20,22,21,22,18,20,21,18,21,18,20,16,19,18,17,19,18,16,18,18,14,16,18,10,15,5,0,0,0,0,0
21667,95,5,0,0,0,0,23,25,24,23,22,25,23,27,22,23,18,23,24,25,21,24,24,21,20,20,23,22,21,20,20,20,0,20,20,19,20,20,20,17,18,16,18,17,17,17,18,17,16,15,17,15,15,14,13,14,14,12,11,0,0,0,0,0
21668,95,5,0,0,0,0,24,24,23,25,25,24,25,24,23,22,23,25,23,20,21,23,23,22,22,21,23,23,19,21,21,21,0,21,21,18,20,21,20,18,19,19,18,20,17,18,17,17,18,18,17,16,16,15,16,15,14,13,13,0,0,0,0,0
21669,95,5,0,0,0,0,23,23,23,24,21,22,22,24,23,22,23,23,22,23,23,25,23,20,21,21,21,21,20,22,20,22,0,20,21,19,21,18,19,18,18,18,18,19,15,17,16,17,17,18,15,17,17,15,15,14,14,12,13,0,0,0,0,0
21670,95,5,0,0,0,0,24,24,26,23,24,23,22,23,23,21,23,23,25,21,21,24,22,21,21,21,22,20,21,21,19,20,0,20,21,20,19,19,19,19,19,19,17,18,16,17,17,17,17,16,16,16,14,15,13,13,14,12,11,0,0,0,0,0
21671,95,5,0,0,0,0,23,23,24,26,23,22,23,26,23,23,23,23,25,23,22,24,21,21,21,25,20,23,21,21,22,23,0,19,21,19,20,18,19,20,18,18,17,18,19,18,17,17,18,17,17,15,15,15,15,13,15,13,15,0,0,0,0,0
21672,95,5,0,0,0,0,24,22,26,24,25,25,23,25,24,22,25,25,24,22,23,23,22,23,23,22,23,21,21,22,23,22,0,20,21,20,21,20,20,19,20,21,17,20,17,18,18,18,17,17,17,16,18,14,15,14,14,13,13,0,0,0,0,0
21673,95,5,0,0,0,0,24,23,23,24,26,22,25,24,24,24,22,23,23,23,21,24,21,24,23,22,21,21,23,21,20,22,0,20,21,21,21,18,20,19,19,18,19,20,19,17,17,17,19,17,16,16,14,15,15,14,15,14,12,0,0,0,0,0
21674,95,5,0,0,0,0,22,24,18,21,21,20,21,23,23,22,24,23,22,22,20,22,21,21,18,19,20,20,20,18,20,19,0,21,20,20,19,19,18,16,17,16,17,17,16,17,17,16,16,17,15,14,15,16,14,15,16,13,12,0,0,0,0,0
21675,95,5,0,0,0,0,25,23,24,24,23,23,23,23,24,23,22,24,23,21,23,24,23,19,22,23,22,22,21,23,23,21,0,21,20,20,20,21,20,18,18,20,19,18,17,16,17,19,18,18,16,16,18,15,16,14,14,14,16,0,0,0,0,0
21676,95,5,0,0,0,0,23,21,25,23,24,21,22,23,24,22,23,23,24,21,22,21,20,21,22,21,20,18,23,20,23,20,0,21,19,19,18,18,18,16,17,18,17,17,16,16,15,19,17,15,15,17,14,15,13,16,14,12,13,0,0,0,0,0
21677,95,5,0,0,0,0,24,25,23,25,22,25,23,23,22,20,23,24,22,20,22,22,23,22,23,22,21,20,21,21,20,22,0,21,21,21,20,21,20,17,17,17,16,18,17,17,16,16,18,14,16,15,13,15,13,14,14,13,14,0,0,0,0,0
21678,95,5,0,0,0,0,28,21,23,19,23,21,26,21,21,20,22,25,21,21,20,21,19,21,21,21,18,19,19,21,19,20,0,19,19,19,20,19,21,18,18,18,19,17,17,16,15,15,14,15,15,15,16,15,13,14,14,14,12,0,0,0,0,0
21679,95,5,0,0,0,0,25,25,23,22,26,26,25,24,23,23,25,23,25,22,22,24,23,21,23,24,23,21,21,22,20,22,0,22,22,20,21,18,20,20,19,19,19,20,18,19,17,17,19,15,18,16,16,18,17,14,16,12,12,0,0,0,0,0
